没戏	没辙	0	0
只管	尽管	0.7166927456855774	0.5913233757019043
GDP	生产力	0.9316290616989136	0.8042855858802795
包袱	段子	0.39632248878479004	-0.8746993541717529
由此	通过	0.9773111343383789	0.4734458923339844
日期	时间	-0.16650289297103882	0.6945801377296448
爱面子	好高骛远	0	0
严厉	严谨	0.8913474678993225	0.6091247200965881
一方面	一边	0.9878621697425842	0.6104776859283447
托福	GRE	0	0
亏	幸亏	-0.32316768169403076	0.48928117752075195
蹩脚	差强人意	0	0
容易	顺利	0.9482414126396179	0.4447939991950989
悲喜	大悲大喜	0	0
老气	土气	0	0
狭隘	狭窄	0.829852819442749	0.6064234375953674
抄袭	克隆	0.23270127177238464	0.708139181137085
害臊	腼腆	0	0
幻境	红楼梦	0	0
依稀	清晰	0.9609935879707336	0.5064169764518738
权限	权力	0.9044089913368225	0.6409410834312439
伟大	壮烈	0.947977602481842	0.7416291236877441
娇艳	幽美	0	0
理解	理会	0.20999720692634583	0.6253542304039001
酣睡	打鼾	0	0
自然	环境	0.8974646925926208	0.6124818325042725
振兴	建设	0.6328656673431396	0.667298436164856
节日	假日	-0.2650831341743469	0.2770013213157654
的哥	司机	0	0
几乎	差点儿	0	0
江湖	红尘	-0.2384248524904251	0.2868596017360687
路子	后门	0.6873391270637512	0.8225619196891785
牛脾气	我行我素	0	0
物品	物质	0.8902676701545715	0.6336959004402161
塞车	拥挤	0.2944043278694153	0.6326739192008972
面	首	-0.060518529266119	0.559053897857666
冷僻	晦涩	0	0
免费	便宜	0.9499678611755371	0.5701966285705566
发票	账单	-0.324507474899292	0.7667800188064575
回收站	垃圾篓	0	0
典型	代表	0.6345120072364807	0.6184495091438293
必须	必需	0.5795058012008667	0.7654529213905334
出神	发楞	0	0
琢磨	镂刻	0	0
身姿	身手	0.8689408898353577	0.9921088218688965
质量	重量	0.972947359085083	0.7216703295707703
事变	后院起火	0	0
大小	多少	0.7104111909866333	0.5920128226280212
信物	证件	0	0
牺牲	粉身碎骨	0.9043739438056946	0.6274145841598511
豆蔻年华	黄金时代	0	0
血液	红细胞	0.8356231451034546	0.8996512293815613
硅谷	中关村	0.6230528354644775	0.6888455152511597
天赋	技能	0.8451046943664551	0.8643915057182312
酷	爽	-0.010048977099359035	0.6196258664131165
旅客	驴友	0	0
隆重	重要	0.30310675501823425	0.6079854965209961
候选人	备胎	0	0
平凡	平庸	0.6608643531799316	0.44179636240005493
了不得	好	0.38309475779533386	0.15457390248775482
鸣谢	酬答	0	0
线路	行程	0.9118752479553223	0.6213117837905884
多角度	多元化	0	0
要面子	虚荣心	-0.8095722794532776	0.7462261915206909
许可证	执照	0.46435633301734924	0.7604607343673706
是非	方圆	0.6781583428382874	0.5531215071678162
崛起	凸起	0	0
工作日	开放日	0	0
大	高	0.9704124927520752	0.6331673860549927
吸引力	地磁力	0	0
右翼	左派	0	0
和谐	平安	0.28045380115509033	0.39765024185180664
商标	符号	0.6201593279838562	0.410208523273468
违纪	贪污	0.6192647814750671	0.4661464989185333
环境	生态	0.9179641008377075	0.6370105743408203
实践	进行	0.7573984265327454	0.6345453262329102
买卖	营销	0.7349327802658081	0.5845644474029541
合理	合理性	-0.4255821704864502	0.7606201767921448
